start,end,duration,section,description
8:30,9:00,30 min,Registration,Code of Conduct
9:00,9:10,10 min,Open remarks,
9:10,9:45,35 min,Panel Discussion,4 people
9:45,10:15,30 min,Jupyter Lab Walk Through,Tony Fast
9:45,10:15,30 min,Data Exploration in Jupyter,Raj Sivakumar & Christian McDaniel
10:15,10:45,30 min,Flight Data in Jupyter,Luke Starnes
10:45,11:15,30 min,Style Guides for Jupyter,Tony Fast
11:15,11:30,15 min,Break,
11:40,11:50,10 min,SQL with Jupyter Notebooksk,Greg Werner
12:05,12:20,15 min,Dynamic Notebook Generation for Reports,Casey Hartnett
12:20,12:40,20 min,Group Discussion,All
12:40,12:55,15 min,Tiny Talks,Whomever
12:55,1:00,5 min,Closing,Tony Fast
